team id,xGCp90,defensive points p/match,clean sheets p/match
Arsenal 24-25,0.91,1.13,0.34
Aston Villa 24-25,1.32,0.47,0.24
Bournemouth 24-25,1.28,0.58,0.24
Brentford 24-25,1.46,0.32,0.21
Brighton 24-25,1.44,0.29,0.21
Chelsea 24-25,1.24,0.82,0.29
Crystal Palace 24-25,1.29,0.68,0.29
Everton 24-25,1.22,0.92,0.32
Fulham 24-25,1.24,0.11,0.13
Ipswich Town 24-25,1.91,-0.66,0.05
Leicester City 24-25,1.89,-0.55,0.08
Liverpool 24-25,1.02,1.16,0.37
Manchester City 24-25,1.26,0.95,0.34
Manchester United 24-25,1.42,0.55,0.26
Newcastle 24-25,1.20,0.97,0.34
Nottingham Forest 24-25,1.29,0.97,0.34
Southampton 24-25,2.23,-0.47,0.08
Tottenham 24-25,1.67,0.00,0.16
West Ham 24-25,1.57,0.21,0.18
Wolves 24-25,1.53,0.11,0.21
